region_id,year,natl_coastal_pop
4,2014,6808352
8,2014,6808352
10,2014,6808352
13,2014,6808352
16,2014,6808352
2,2014,5627235
3,2014,5627235
6,2014,5627235
7,2014,5627235
9,2014,5627235
12,2014,5627235
15,2014,5627235
25,2014,993767
28,2014,993767
31,2014,993767
34,2014,993767
30,2014,3460727
32,2014,3460727
36,2014,3460727
38,2014,3460727
40,2014,3460727
42,2014,3460727
23,2014,329013
24,2014,1268440
27,2014,1268440
17,2014,3833255
18,2014,3833255
21,2014,3833255
1,2014,7894399
5,2014,7894399
11,2014,7894399
14,2014,7894399
20,2014,7894399
26,2014,7894399
29,2014,7894399
35,2014,7894399
37,2014,7894399
39,2014,7894399
41,2014,7894399
4,2015,6845913
8,2015,6845913
10,2015,6845913
13,2015,6845913
16,2015,6845913
2,2015,5659715
3,2015,5659715
6,2015,5659715
7,2015,5659715
9,2015,5659715
12,2015,5659715
15,2015,5659715
25,2015,996291
28,2015,996291
31,2015,996291
34,2015,996291
30,2015,3480906
32,2015,3480906
36,2015,3480906
38,2015,3480906
40,2015,3480906
42,2015,3480906
23,2015,327300
24,2015,1263338
27,2015,1263338
17,2015,3837247
18,2015,3837247
21,2015,3837247
1,2015,7983753
5,2015,7983753
11,2015,7983753
14,2015,7983753
20,2015,7983753
26,2015,7983753
29,2015,7983753
35,2015,7983753
37,2015,7983753
39,2015,7983753
41,2015,7983753
4,2016,6925443
8,2016,6925443
10,2016,6925443
13,2016,6925443
16,2016,6925443
2,2016,5707251
3,2016,5707251
6,2016,5707251
7,2016,5707251
9,2016,5707251
12,2016,5707251
15,2016,5707251
25,2016,999075
28,2016,999075
31,2016,999075
34,2016,999075
30,2016,3497990
32,2016,3497990
36,2016,3497990
38,2016,3497990
40,2016,3497990
42,2016,3497990
23,2016,324618
24,2016,1257065
27,2016,1257065
17,2016,3838986
18,2016,3838986
21,2016,3838986
1,2016,8072215
5,2016,8072215
11,2016,8072215
14,2016,8072215
20,2016,8072215
26,2016,8072215
29,2016,8072215
35,2016,8072215
37,2016,8072215
39,2016,8072215
41,2016,8072215
4,2017,6970104
8,2017,6970104
10,2017,6970104
13,2017,6970104
16,2017,6970104
2,2017,5748769
3,2017,5748769
6,2017,5748769
7,2017,5748769
9,2017,5748769
12,2017,5748769
15,2017,5748769
25,2017,1000405
28,2017,1000405
31,2017,1000405
34,2017,1000405
30,2017,3514780
32,2017,3514780
36,2017,3514780
38,2017,3514780
40,2017,3514780
42,2017,3514780
23,2017,320507
24,2017,1252694
27,2017,1252694
17,2017,3843017
18,2017,3843017
21,2017,3843017
1,2017,8192682
5,2017,8192682
11,2017,8192682
14,2017,8192682
20,2017,8192682
26,2017,8192682
29,2017,8192682
35,2017,8192682
37,2017,8192682
39,2017,8192682
41,2017,8192682
4,2018,6999958
8,2018,6999958
10,2018,6999958
13,2018,6999958
16,2018,6999958
2,2018,5781190
3,2018,5781190
6,2018,5781190
7,2018,5781190
9,2018,5781190
12,2018,5781190
15,2018,5781190
25,2018,1002018
28,2018,1002018
31,2018,1002018
34,2018,1002018
30,2018,3529368
32,2018,3529368
36,2018,3529368
38,2018,3529368
40,2018,3529368
42,2018,3529368
23,2018,317252
24,2018,1248269
27,2018,1248269
17,2018,3849714
18,2018,3849714
21,2018,3849714
1,2018,8299114
5,2018,8299114
11,2018,8299114
14,2018,8299114
20,2018,8299114
26,2018,8299114
29,2018,8299114
35,2018,8299114
37,2018,8299114
39,2018,8299114
41,2018,8299114
4,2019,7017920
8,2019,7017920
10,2019,7017920
13,2019,7017920
16,2019,7017920
2,2019,5806081
3,2019,5806081
6,2019,5806081
7,2019,5806081
9,2019,5806081
12,2019,5806081
15,2019,5806081
25,2019,1007580
28,2019,1007580
31,2019,1007580
34,2019,1007580
30,2019,3540077
32,2019,3540077
36,2019,3540077
38,2019,3540077
40,2019,3540077
42,2019,3540077
23,2019,317722
24,2019,1243316
27,2019,1243316
17,2019,3856881
18,2019,3856881
21,2019,3856881
1,2019,8394340
5,2019,8394340
11,2019,8394340
14,2019,8394340
20,2019,8394340
26,2019,8394340
29,2019,8394340
35,2019,8394340
37,2019,8394340
39,2019,8394340
41,2019,8394340
