region_id,eez,area_km2,ices_id,ices_numeric,country
1,SWE,6565.58647973,IIIa,21,Sweden
2,DNK,16315.485175,IIIa,21,Denmark
3,DNK,9987.81169212,22,22,Denmark
4,DEU,98.620894352,22,22,Germany
5,SWE,594.722913079,23,23,Sweden
6,DNK,577.86889397,23,23,Denmark
7,DNK,1211.20620511,22,22,Denmark
8,DEU,1996.89387929,22,22,Germany
9,DNK,1141.1073139,22,22,Denmark
10,DEU,3380.61988679,22,22,Germany
11,SWE,4229.10211615,24,24,Sweden
12,DNK,6178.48445672,24,24,Denmark
13,DEU,6943.7423114,24,24,Germany
14,SWE,15059.2100591,25,25,Sweden
15,DNK,7132.67066085,25,25,Denmark
16,DEU,2532.23009238,24,24,Germany
17,POL,17231.0761968,25,25,Poland
18,POL,3598.08465588,26,26,Poland
19,RUS,2093.5152419,26,26,Russia
20,SWE,21904.3069818,28-2,28.2,Sweden
21,POL,11013.7075193,26,26,Poland
22,RUS,9402.46841717,26,26,Russia
23,LTU,6083.72552283,26,26,Lithuania
24,LVA,20992.3153589,28-2,28.2,Latvia
25,EST,5364.64302521,28-2,28.2,Estonia
26,SWE,27312.8600383,27,27,Sweden
27,LVA,7846.03761071,28-1,28.1,Latvia
28,EST,10356.8864271,28-1,28.1,Estonia
29,SWE,17846.7987612,29,29,Sweden
30,FIN,9809.85368294,29,29,Finland
31,EST,11685.7615569,29,29,Estonia
32,FIN,9376.48131105,32,32,Finland
33,RUS,11279.1063198,32,32,Russia
34,EST,8121.92054132,32,32,Estonia
35,SWE,2732.12022608,29,29,Sweden
36,FIN,12812.0246603,29,29,Finland
37,SWE,31239.6673474,30,30,Sweden
38,FIN,27952.3832074,30,30,Finland
39,SWE,3164.64521903,31,31,Sweden
40,FIN,4862.2798263,30,30,Finland
41,SWE,16947.6650747,31,31,Sweden
42,FIN,14709.8681336,31,31,Finland
